algorithm,instance_id,p,selected_stocks,K,sharpe_ratio,feasible,approx_ratio
qaoa_saksham,tiny_0002,1,WMT+CAT,2,0.0781,True,1.0
qaoa_saksham,tiny_0002,2,WMT+CAT,2,0.0781,True,1.0
qaoa_saksham,tiny_0003,1,NVDA+WMT,2,0.0483,True,1.0
qaoa_saksham,tiny_0003,2,NVDA+WMT,2,0.0483,True,1.0
qaoa_saksham,tiny_0004,1,XOM+COST,2,-0.0015,True,1.0
qaoa_saksham,tiny_0004,2,XOM+COST,2,-0.0015,True,1.0
qaoa_saksham,tiny_0005,1,UNH+CAT,2,0.0147,True,1.0
qaoa_saksham,tiny_0005,2,UNH+CAT,2,0.0147,True,1.0
qaoa_saksham,tiny_0006,1,AAPL+GS,2,0.0621,True,1.0
qaoa_saksham,tiny_0006,2,AAPL+GS,2,0.0621,True,1.0
qaoa_saksham,tiny_0007,1,JPM+COST,2,0.0025,True,1.0
qaoa_saksham,tiny_0007,2,JPM+COST,2,0.0025,True,1.0
qaoa_saksham,tiny_0008,1,GS+PG,2,0.0727,True,1.0
qaoa_saksham,tiny_0008,2,GS+PG,2,0.0727,True,1.0
qaoa_saksham,tiny_0009,1,JPM+WMT,2,0.0869,True,1.0
qaoa_saksham,tiny_0009,2,JPM+WMT,2,0.0869,True,1.0
qaoa_saksham,tiny_0010,1,GS+PG,2,0.0727,True,1.0
qaoa_saksham,tiny_0010,2,GS+PG,2,0.0727,True,1.0
qaoa_saksham,tiny_0011,1,PG+CAT,2,0.0665,True,1.0
qaoa_saksham,tiny_0011,2,PG+CAT,2,0.0665,True,1.0
qaoa_saksham,tiny_0012,1,GS+COST,2,0.0099,True,1.0
qaoa_saksham,tiny_0012,2,GS+COST,2,0.0099,True,1.0
qaoa_saksham,tiny_0013,1,AAPL+JPM,2,0.0554,True,1.0
qaoa_saksham,tiny_0013,2,AAPL+JPM,2,0.0554,True,1.0
qaoa_saksham,tiny_0014,1,JPM+KO,2,0.117,True,1.0
qaoa_saksham,tiny_0014,2,JPM+KO,2,0.117,True,1.0
warm_start_qaoa_saksham,n7_gap_0000,1,JPM+WMT,2,0.0869,True,1.0
warm_start_qaoa_saksham,n7_gap_0000,2,JPM+WMT,2,0.0869,True,1.0
warm_start_qaoa_saksham,n7_gap_0001,1,AAPL+XOM,2,0.0653,True,1.0
warm_start_qaoa_saksham,n7_gap_0001,2,AAPL+XOM,2,0.0653,True,1.0
warm_start_qaoa_saksham,n7_gap_0002,1,GS+CVX,2,0.0971,True,1.0
warm_start_qaoa_saksham,n7_gap_0002,2,GS+CVX,2,0.0971,True,1.0
warm_start_qaoa_saksham,n7_gap_0003,1,GS+COST,2,0.0099,True,1.0
warm_start_qaoa_saksham,n7_gap_0003,2,GS+COST,2,0.0099,True,1.0
warm_start_qaoa_saksham,n7_gap_0004,1,NVDA+GS,2,0.051,True,1.0
warm_start_qaoa_saksham,n7_gap_0004,2,NVDA+GS,2,0.051,True,1.0
warm_start_qaoa_saksham,small_0015,1,WMT+XOM,2,0.1367,True,1.0
warm_start_qaoa_saksham,small_0015,2,WMT+XOM,2,0.1367,True,1.0
warm_start_qaoa_saksham,small_0016,1,WMT+XOM+COST,3,0.0001,True,1.0
warm_start_qaoa_saksham,small_0016,2,WMT+XOM+COST,3,0.0001,True,1.0
warm_start_qaoa_saksham,small_0017,1,GS+WMT+COST,3,0.0144,True,1.0
warm_start_qaoa_saksham,small_0017,2,GS+WMT+COST,3,0.0144,True,1.0
warm_start_qaoa_saksham,small_0018,1,NVDA+WMT+XOM+CAT,4,0.0734,True,1.0
warm_start_qaoa_saksham,small_0018,2,NVDA+WMT+XOM+CAT,4,0.0734,True,1.0
warm_start_qaoa_saksham,small_0019,1,NVDA+WMT,2,0.0483,True,1.0
warm_start_qaoa_saksham,small_0019,2,NVDA+WMT,2,0.0483,True,1.0
warm_start_qaoa_saksham,small_0020,1,NVDA+KO+CAT,3,0.0691,True,1.0
warm_start_qaoa_saksham,small_0020,2,NVDA+KO+CAT,3,0.0691,True,1.0
warm_start_qaoa_saksham,small_0021,1,JPM+WMT,2,0.0869,True,1.0
warm_start_qaoa_saksham,small_0021,2,JPM+WMT,2,0.0869,True,1.0
warm_start_qaoa_saksham,small_0022,1,META+JPM+KO+CVX,4,0.0194,True,1.0
warm_start_qaoa_saksham,small_0022,2,META+JPM+KO+CVX,4,0.0194,True,1.0
warm_start_qaoa_saksham,small_0023,1,NVDA+CAT+COST,3,0.0098,True,1.0
warm_start_qaoa_saksham,small_0023,2,NVDA+CAT+COST,3,0.0098,True,1.0
warm_start_qaoa_saksham,small_0024,1,AAPL+WMT+XOM,3,0.0828,True,1.0
warm_start_qaoa_saksham,small_0024,2,AAPL+WMT+XOM,3,0.0828,True,1.0
warm_start_qaoa_saksham,small_0025,1,GS+CAT+NFLX,3,0.0633,True,1.0
warm_start_qaoa_saksham,small_0025,2,GS+CAT+NFLX,3,0.0633,True,1.0
warm_start_qaoa_saksham,small_0026,1,NVDA+KO+WMT+XOM,4,0.0871,True,1.0
warm_start_qaoa_saksham,small_0026,2,NVDA+KO+WMT+XOM,4,0.0871,True,1.0
warm_start_qaoa_saksham,small_0027,1,JNJ+PG+XOM+CAT,4,0.1502,True,1.0
warm_start_qaoa_saksham,small_0027,2,AAPL+PG+XOM+CAT,4,0.0778,True,0.9947910355537646
warm_start_qaoa_saksham,small_0028,1,JPM+WMT+XOM,3,0.1052,True,1.0
warm_start_qaoa_saksham,small_0028,2,JPM+WMT+XOM,3,0.1052,True,1.0
warm_start_qaoa_saksham,small_0029,1,AMZN+JPM,2,0.0402,True,1.0
warm_start_qaoa_saksham,small_0029,2,AMZN+JPM,2,0.0402,True,1.0
warm_start_qaoa_saksham,tiny_0000,1,META+PG,2,0.0038,True,1.0
warm_start_qaoa_saksham,tiny_0000,2,META+PG,2,0.0038,True,1.0
warm_start_qaoa_saksham,tiny_0001,1,JPM+COST,2,0.0025,True,1.0
warm_start_qaoa_saksham,tiny_0001,2,JPM+COST,2,0.0025,True,1.0
warm_start_qaoa_saksham,tiny_0002,1,WMT+CAT,2,0.0781,True,1.0
warm_start_qaoa_saksham,tiny_0002,2,WMT+CAT,2,0.0781,True,1.0
warm_start_qaoa_saksham,tiny_0003,1,NVDA+WMT,2,0.0483,True,1.0
warm_start_qaoa_saksham,tiny_0003,2,NVDA+WMT,2,0.0483,True,1.0
warm_start_qaoa_saksham,tiny_0004,1,XOM+COST,2,-0.0015,True,1.0
warm_start_qaoa_saksham,tiny_0004,2,XOM+COST,2,-0.0015,True,1.0
warm_start_qaoa_saksham,tiny_0005,1,UNH+CAT,2,0.0147,True,1.0
warm_start_qaoa_saksham,tiny_0005,2,UNH+CAT,2,0.0147,True,1.0
warm_start_qaoa_saksham,tiny_0006,1,AAPL+GS,2,0.0621,True,1.0
warm_start_qaoa_saksham,tiny_0006,2,AAPL+GS,2,0.0621,True,1.0
warm_start_qaoa_saksham,tiny_0007,1,JPM+COST,2,0.0025,True,1.0
warm_start_qaoa_saksham,tiny_0007,2,JPM+COST,2,0.0025,True,1.0
warm_start_qaoa_saksham,tiny_0008,1,GS+PG,2,0.0727,True,1.0
warm_start_qaoa_saksham,tiny_0008,2,GS+PG,2,0.0727,True,1.0
warm_start_qaoa_saksham,tiny_0009,1,JPM+WMT,2,0.0869,True,1.0
warm_start_qaoa_saksham,tiny_0009,2,JPM+WMT,2,0.0869,True,1.0
